Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,4,65.0,8450,2,0,4,4,1,5,1,6,3,3,1,6,7,5,2003,2003,2,2,13,14,2,196.0,3,5,3,3,4,4,3,706,6,0,150,856,2,1,2,5,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,0,2,2003.0,2,2,548,5,5,3,0,61,0,0,0,0,0,0,0,0,2,2008,9,5,208500
2,20,4,80.0,9600,2,0,4,4,1,3,1,25,2,3,1,3,6,8,1976,1976,2,2,9,9,3,0.0,4,5,2,3,4,2,1,978,6,0,284,1262,2,1,2,5,1262,0,0,1262,0,1,2,0,3,1,4,6,7,1,5,2,1976.0,2,2,460,5,5,3,298,0,0,0,0,0,0,0,0,0,5,2007,9,5,181500
3,60,4,68.0,11250,2,0,1,4,1,5,1,6,3,3,1,6,7,5,2001,2002,2,2,13,14,2,162.0,3,5,3,3,4,3,3,486,6,0,434,920,2,1,2,5,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,5,2,2001.0,2,2,608,5,5,3,0,42,0,0,0,0,0,0,0,0,9,2008,9,5,223500
4,70,4,60.0,9550,2,0,1,4,1,1,1,7,3,3,1,6,7,5,1915,1970,2,2,14,16,3,0.0,4,5,1,4,2,4,1,216,6,0,540,756,2,3,2,5,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,3,6,1998.0,3,3,642,5,5,3,0,35,272,0,0,0,0,0,0,0,2,2006,9,1,140000
5,60,4,84.0,14260,2,0,1,4,1,3,1,16,3,3,1,6,8,5,2000,2000,2,2,13,14,2,350.0,3,5,3,3,4,1,3,655,6,0,490,1145,2,1,2,5,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,5,2,2000.0,2,3,836,5,5,3,192,84,0,0,0,0,0,0,0,0,12,2008,9,5,250000
6,50,4,85.0,14115,2,0,1,4,1,5,1,12,3,3,1,1,5,5,1993,1995,2,2,13,14,3,0.0,4,5,6,3,4,4,3,732,6,0,64,796,2,1,2,5,796,566,0,1362,1,0,1,1,1,1,4,5,7,0,0,2,1993.0,3,2,480,5,5,3,40,30,0,320,0,0,0,3,3,700,10,2009,9,5,143000
7,20,4,75.0,10084,2,0,4,4,1,5,1,22,3,3,1,3,8,5,2004,2005,2,2,13,14,4,186.0,3,5,3,1,4,1,3,1369,6,0,317,1686,2,1,2,5,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,3,2,2004.0,2,2,636,5,5,3,255,57,0,0,0,0,0,0,0,0,8,2007,9,5,307000
8,60,4,69.0,10382,2,0,1,4,1,1,1,15,5,3,1,6,7,6,1973,1973,2,2,7,7,4,240.0,4,5,2,3,4,3,1,859,2,32,216,1107,2,1,2,5,1107,983,0,2090,1,0,2,1,3,1,4,7,7,2,5,2,1973.0,2,2,484,5,5,3,235,204,228,0,0,0,0,0,3,350,11,2009,9,5,200000
9,50,5,51.0,6120,2,0,4,4,1,5,1,18,1,3,1,1,7,5,1931,1950,2,2,4,16,3,0.0,4,5,1,4,4,4,6,0,6,0,952,952,2,3,2,2,1022,752,0,1774,0,0,2,0,2,2,4,8,3,2,5,6,1931.0,3,2,468,2,5,3,90,0,205,0,0,0,0,0,0,0,4,2008,9,1,129900
10,190,4,50.0,7420,2,0,4,4,1,1,1,4,1,1,2,2,5,6,1939,1950,2,2,9,9,3,0.0,4,5,1,4,4,4,3,851,6,0,140,991,2,1,2,5,1077,0,0,1077,1,0,1,0,2,2,4,5,7,2,5,2,1939.0,2,1,205,3,5,3,0,4,0,0,0,0,0,0,0,0,1,2008,9,5,118000
11,20,4,70.0,11200,2,0,4,4,1,5,1,20,3,3,1,3,5,5,1965,1965,4,2,7,7,3,0.0,4,5,2,4,4,4,5,906,6,0,134,1040,2,1,2,5,1040,0,0,1040,1,0,1,0,3,1,4,5,7,0,0,6,1965.0,3,1,384,5,5,3,0,0,0,0,0,0,0,0,0,0,2,2008,9,5,129500
12,60,4,85.0,11924,2,0,1,4,1,5,1,17,3,3,1,6,9,5,2005,2006,4,2,15,16,4,286.0,1,5,3,1,4,4,3,998,6,0,177,1175,2,1,2,5,1182,1142,0,2324,1,0,3,0,4,1,1,11,7,2,3,4,2005.0,1,3,736,5,5,3,147,21,0,0,0,0,0,0,0,0,7,2006,7,6,345000
13,20,4,69.0,12968,2,0,2,4,1,5,1,20,3,3,1,3,5,6,1962,1962,4,2,7,11,3,0.0,4,5,2,4,4,4,1,737,6,0,175,912,2,5,2,5,912,0,0,912,1,0,1,0,2,1,4,4,7,0,0,6,1962.0,3,1,352,5,5,3,140,0,0,0,176,0,0,0,0,0,9,2008,9,5,144000
14,20,4,91.0,10652,2,0,1,4,1,5,1,6,3,3,1,3,7,5,2006,2007,2,2,13,14,4,306.0,3,5,3,3,4,1,6,0,6,0,1494,1494,2,1,2,5,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,3,2,2006.0,2,3,840,5,5,3,160,33,0,0,0,0,0,0,0,0,8,2007,7,6,279500
15,20,4,69.0,10920,2,0,1,4,1,1,1,13,3,3,1,3,6,5,1960,1960,4,2,9,9,2,212.0,4,5,2,4,4,4,2,733,6,0,520,1253,2,5,2,5,1253,0,0,1253,1,0,1,1,2,1,4,5,7,1,2,2,1960.0,2,1,352,5,5,3,0,213,176,0,0,0,0,2,0,0,5,2008,9,5,157000
16,45,5,51.0,6120,2,0,4,4,1,1,1,4,3,3,1,2,7,8,1929,2001,2,2,14,15,3,0.0,4,5,1,4,4,4,6,0,6,0,832,832,2,1,2,1,854,0,0,854,0,0,1,0,2,1,4,5,7,0,0,6,1991.0,3,2,576,5,5,3,48,112,0,0,0,0,0,1,0,0,7,2007,9,5,132000
17,20,4,69.0,11241,2,0,1,4,1,2,1,13,3,3,1,3,6,7,1970,1970,2,2,14,15,2,180.0,4,5,2,4,4,4,1,578,6,0,426,1004,2,1,2,5,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,5,2,1970.0,1,2,480,5,5,3,0,0,0,0,0,0,0,0,3,700,3,2010,9,5,149000
18,90,4,72.0,10791,2,0,4,4,1,5,1,20,3,3,3,3,4,5,1967,1967,2,2,9,9,3,0.0,4,5,4,0,0,0,0,0,0,0,0,0,2,5,2,5,1296,0,0,1296,0,0,2,0,2,2,4,6,7,0,0,5,1967.0,3,2,516,5,5,3,0,0,0,0,0,0,0,0,3,500,10,2006,9,5,90000
19,20,4,66.0,13695,2,0,4,4,1,5,1,21,6,3,1,3,5,5,2004,2004,2,2,13,14,3,0.0,4,5,3,4,4,4,3,646,6,0,468,1114,2,1,2,5,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,0,6,2004.0,3,2,576,5,5,3,0,102,0,0,0,0,0,0,0,0,6,2008,9,5,159000
20,20,4,70.0,7560,2,0,4,4,1,5,1,13,3,3,1,3,5,6,1958,1965,4,2,4,11,3,0.0,4,5,2,4,4,4,4,504,6,0,525,1029,2,5,2,5,1339,0,0,1339,0,0,1,0,3,1,4,6,3,0,0,2,1958.0,3,1,294,5,5,3,0,0,0,0,0,0,0,3,0,0,5,2009,1,1,139000
21,60,4,101.0,14215,2,0,1,4,1,1,1,17,3,3,1,6,8,5,2005,2006,2,2,13,14,2,380.0,3,5,3,1,4,1,6,0,6,0,1158,1158,2,1,2,5,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,3,4,2005.0,2,3,853,5,5,3,240,154,0,0,0,0,0,0,0,0,11,2006,7,6,325300
22,45,5,57.0,7449,2,1,4,1,1,5,1,10,3,3,1,2,7,7,1930,1950,2,2,14,15,3,0.0,4,5,3,4,4,4,6,0,6,0,637,637,2,1,2,2,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,3,2,1930.0,3,1,280,5,5,1,0,0,205,0,0,0,0,1,0,0,6,2007,9,5,139400
23,20,4,75.0,9742,2,0,4,4,1,5,1,6,3,3,1,3,8,5,2002,2002,4,2,13,14,2,281.0,3,5,3,3,4,4,6,0,6,0,1777,1777,2,1,2,5,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,3,2,2002.0,2,2,534,5,5,3,171,159,0,0,0,0,0,0,0,0,9,2008,9,5,230000
