GarageArea,GarageCars,GarageYrBlt,Fireplaces,TotRmsAbvGrd,FullBath,GrLivArea,1stFlrSF,TotalBsmtSF,BsmtFinSF1,MasVnrArea,YearRemodAdd,YearBuilt,OverallQual
548,2,2003.0,0,8,2,1710,856,856,706,196.0,2003,2003,7
460,2,1976.0,1,6,2,1262,1262,1262,978,0.0,1976,1976,6
608,2,2001.0,1,6,2,1786,920,920,486,162.0,2002,2001,7
642,3,1998.0,1,7,1,1717,961,756,216,0.0,1970,1915,7
836,3,2000.0,1,9,2,2198,1145,1145,655,350.0,2000,2000,8
480,2,1993.0,0,5,1,1362,796,796,732,0.0,1995,1993,5
636,2,2004.0,1,7,2,1694,1694,1686,1369,186.0,2005,2004,8
484,2,1973.0,2,7,2,2090,1107,1107,859,240.0,1973,1973,7
468,2,1931.0,2,8,2,1774,1022,952,0,0.0,1950,1931,7
205,1,1939.0,2,5,1,1077,1077,991,851,0.0,1950,1939,5
384,1,1965.0,0,5,1,1040,1040,1040,906,0.0,1965,1965,5
736,3,2005.0,2,11,3,2324,1182,1175,998,286.0,2006,2005,9
352,1,1962.0,0,4,1,912,912,912,737,0.0,1962,1962,5
840,3,2006.0,1,7,2,1494,1494,1494,0,306.0,2007,2006,7
352,1,1960.0,1,5,1,1253,1253,1253,733,212.0,1960,1960,6
576,2,1991.0,0,5,1,854,854,832,0,0.0,2001,1929,7
480,2,1970.0,1,5,1,1004,1004,1004,578,180.0,1970,1970,6
516,2,1967.0,0,6,2,1296,1296,0,0,0.0,1967,1967,4
576,2,2004.0,0,6,1,1114,1114,1114,646,0.0,2004,2004,5
294,1,1958.0,0,6,1,1339,1339,1029,504,0.0,1965,1958,5
853,3,2005.0,1,9,3,2376,1158,1158,0,380.0,2006,2005,8
280,1,1930.0,1,6,1,1108,1108,637,0,0.0,1950,1930,7
534,2,2002.0,1,7,2,1795,1795,1777,0,281.0,2002,2002,8
572,2,1976.0,1,6,1,1060,1060,1040,840,0.0,1976,1976,5
270,1,1968.0,1,6,1,1060,1060,1060,188,0.0,2001,1968,5
890,3,2007.0,1,7,2,1600,1600,1566,0,640.0,2007,2007,8
576,2,2005.0,0,5,1,900,900,900,234,0.0,2000,1951,5
772,3,2008.0,1,7,2,1704,1704,1704,1218,200.0,2008,2007,8
319,1,1957.0,2,6,1,1600,1600,1484,1277,0.0,1997,1957,5
240,1,1920.0,0,4,1,520,520,520,0,0.0,1950,1927,4
250,1,1920.0,0,6,1,1317,649,649,0,0.0,1950,1920,4
271,1,1966.0,0,6,1,1228,1228,1228,0,0.0,2006,1966,5
484,2,2007.0,0,7,2,1234,1234,1234,0,0.0,2007,2007,8
447,2,1959.0,1,6,1,1700,1700,1398,1018,0.0,1959,1959,5
556,2,2005.0,1,6,2,1561,1561,1561,1153,246.0,2005,2005,9
691,3,2004.0,1,9,3,2452,1132,1117,0,132.0,2005,2004,8
672,2,1995.0,0,6,1,1097,1097,1097,0,0.0,1995,1994,5
498,2,1954.0,1,5,1,1297,1297,1297,1213,650.0,1990,1954,5
246,1,1953.0,0,5,1,1057,1057,1057,731,0.0,2007,1953,5
0,0,1980.0,0,6,2,1152,1152,0,0,0.0,1955,1955,4
440,2,1965.0,1,6,2,1324,1324,1088,643,101.0,1965,1965,6
308,1,1959.0,2,5,1,1328,1328,1350,967,0.0,1959,1959,5
504,2,1983.0,0,5,1,884,884,840,747,0.0,1983,1983,5
308,1,1977.0,0,5,1,938,938,938,280,0.0,1980,1975,5
300,1,1959.0,0,6,1,1150,1150,1150,179,0.0,1959,1959,5
576,2,2005.0,1,6,2,1752,1752,1752,456,412.0,2005,2005,9
670,2,2003.0,1,6,1,2149,1518,1434,1351,0.0,2003,2003,7
826,3,2006.0,0,7,2,1656,1656,1656,24,0.0,2006,2006,8
0,0,1980.0,0,8,2,1452,736,736,0,0.0,2008,1920,4
386,1,1966.0,0,6,1,955,955,955,763,0.0,1966,1966,5
388,2,1997.0,0,6,2,1470,794,794,182,0.0,1997,1997,6
528,2,1985.0,1,6,1,1176,816,816,0,0.0,1950,1934,6
516,2,1963.0,0,5,1,816,816,816,104,0.0,1963,1963,5
894,3,1981.0,1,5,0,1842,1842,1842,1810,0.0,1987,1981,9
572,2,1962.0,1,6,1,1360,1360,384,384,0.0,1955,1955,5
576,2,1964.0,1,7,2,1425,1425,1425,490,272.0,1964,1964,6
480,2,1999.0,0,7,2,1739,983,970,649,456.0,2000,1999,8
565,2,2004.0,0,7,2,1720,860,860,0,0.0,2004,2004,7
641,3,2006.0,1,10,3,2945,1426,1410,0,1031.0,2006,2006,10
352,1,1973.0,0,4,1,780,780,780,632,0.0,1972,1972,5
576,2,2006.0,0,5,1,1158,1158,1158,941,0.0,2004,2004,6
288,1,1935.0,0,6,1,1111,581,530,0,0.0,1996,1920,5
484,2,2006.0,1,6,2,1370,1370,1370,24,178.0,2006,2006,8
480,2,1990.0,0,9,2,1710,902,576,0,0.0,1950,1921,7
645,2,1998.0,0,8,2,2034,1057,1057,739,573.0,1998,1997,7
852,3,2004.0,1,9,2,2473,1143,1143,0,344.0,2005,2004,8
576,2,1970.0,1,7,2,2207,2207,1947,912,287.0,1989,1970,7
558,2,2003.0,0,7,2,1479,1479,1453,1013,167.0,2003,2003,7
220,1,1945.0,0,4,1,747,747,747,0,0.0,1950,1945,4
667,2,1953.0,1,7,2,2287,1304,1304,603,0.0,1953,1953,7
516,2,1973.0,2,8,2,2223,2223,2223,1880,1115.0,1973,1973,7
360,2,1987.0,0,4,1,845,845,845,565,0.0,2006,1982,4
427,2,1998.0,1,7,2,1718,885,832,0,40.0,1998,1998,7
490,2,1989.0,0,6,1,1086,1086,1086,320,104.0,2003,1954,5
379,1,1915.0,0,8,2,1605,840,840,0,0.0,1950,1915,3
297,1,1973.0,0,5,1,988,526,462,462,0.0,1973,1973,4
283,1,1956.0,0,4,1,952,952,952,228,0.0,1956,1956,4
240,1,1948.0,0,6,1,1285,1072,672,336,0.0,2001,1948,5
0,0,1980.0,0,8,2,1768,1768,1768,0,0.0,1968,1968,4
440,2,1966.0,0,5,1,1230,682,440,0,0.0,1981,1910,5
509,1,1968.0,1,8,2,2142,1182,896,448,576.0,1968,1968,6
405,2,1998.0,0,5,2,1337,1337,1237,1201,443.0,1998,1998,6
758,3,2007.0,1,6,2,1563,1563,1563,33,468.0,2007,2007,8
461,2,1974.0,0,6,1,1065,1065,1065,0,66.0,1960,1960,5
400,2,1995.0,1,7,2,1474,804,384,0,22.0,1996,1995,7
462,2,1991.0,1,9,2,2417,1301,1288,0,284.0,1992,1991,8
400,2,2005.0,1,6,2,1560,684,684,0,0.0,2005,2005,6
528,2,2009.0,0,4,2,1224,612,612,0,76.0,2009,2009,6
0,0,1980.0,0,6,1,1526,1013,1013,0,0.0,1982,1915,3
